,NOM_ZM,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,VIVTOT,PROM_OCUP_x,PRO_OCUP_C_x,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI,TVIVHAB,GRAPROES_x,PDER_SS,VIVPAR_HAB,VIVPARH_CV,PROM_OCUP_y,PRO_OCUP_C_y,GRAPROES_y,POBFEM_%,POBMAS_%,P_0A2_%,P_3A5_%,P_6A11_%,P_12A14_%,P_15A17_%,POB15_64_%,P_60YMAS_%,PNACOE_%,PNACOE_F_%,PRESOE15_%,PCON_DISC_%,P15YM_AN_%,PE_INAC_%,POCUPADA_%,POCUPADA_F_%,POCUPADA_M_%,PDESOCUP_%,PSINDER_%,PDER_IMSS_%,PDER_SEGP_%,PAFIL_IPRIV_%,PCATOLICA_%,PRO_CRIEVA_%,POTRAS_REL_%,PSIN_RELIG_%,HOGJEF_F_%,PHOGJEF_F_%,VPH_1DOR_%,VPH_C_ELEC_%,VPH_AGUADV_%,VPH_TINACO_%,VPH_CISTER_%,VPH_EXCSA_%,VPH_DRENAJ_%,VPH_REFRI_%,VPH_LAVAD_%,VPH_BICI_%,VPH_TV_%,VPH_PC_%,VPH_CEL_%,VPH_INTER_%,VPH_SPMVPI_%,PDER_SS_%,TVIVHAB_%,GRAPROES_x_%,PROM_OCUP_x_%,RO_CRIEVA_%,PRO_OCUP_C_x_%
43,Pachuca,665929,348217,317712,23397,30035,61002,32570,33670,465233,78116,171455,91403,48232,32986,10699,196574,343617,156042,187575,7518,215050,238571,102762,10372,491172,74853,1989,94131,199376,70533,663190,211658,287173,24.47,6.14,44881,197723,194348,173627,64229,195707,196705,180234,148576,34587,187691,101553,187209,125243,49278,199430,71.38,447574,184477,199167,3.4957142857142856,0.8771428571428571,10.197142857142856,52.3,47.7,3.5,4.5,9.2,4.9,5.1,69.9,11.7,25.7,13.7,48232,5.0,1.6,29.5,51.6,45.4,54.6,1.1,32.3,53.3,23.0,2.3,73.8,11.2,0.3,14.1,35.4,31.9,22.5,99.3,97.6,87.2,32.2,98.3,98.8,90.5,74.6,17.4,94.2,51.0,94.0,62.9,24.7,67.2,100.0,71.38,24.47,74853,6.14
44,Piedras Negras,209456,104146,105310,10795,12061,22759,11118,10872,139642,20248,27261,13225,4911,8120,2241,64871,95815,37451,58364,2004,40505,143658,12112,3490,132444,42770,101,33542,61077,16606,207994,52299,73760,6.91,1.76,17043,60750,60660,11758,1301,60414,60540,59500,54720,13356,58707,25915,57066,38934,14243,61111,19.37,168446,59269,61000,3.455,0.88,9.685,49.7,50.3,5.2,5.8,10.9,5.3,5.2,66.7,9.7,13.0,6.3,4911,3.9,1.1,31.0,45.7,39.1,60.9,1.0,19.3,85.3,7.2,2.1,63.2,20.4,0.0,16.0,27.2,25.1,27.9,99.6,99.4,19.3,2.1,99.0,99.2,97.5,89.7,21.9,96.2,42.5,93.6,63.8,23.3,80.4,100.1,19.37,6.91,42770,1.76
45,Poza Rica,521530,273353,248177,20350,24281,51181,25555,26291,341806,81782,47890,25487,8964,32279,24949,169069,251040,104407,146633,4130,149147,133588,154480,4960,352614,98505,334,69411,151821,53602,520599,169040,183859,17.24,5.19,56535,149118,125362,97008,28815,125826,132569,131778,102397,11791,134572,42594,127267,67874,17323,151851,45.19,371818,141556,151524,3.4479999999999995,1.038,9.038,52.4,47.6,3.9,4.7,9.8,4.9,5.0,65.5,15.7,9.2,4.9,8964,6.2,4.8,32.4,48.1,41.6,58.4,0.8,28.6,35.9,41.5,1.3,67.6,18.9,0.1,13.3,35.3,32.5,37.3,98.4,82.7,64.0,19.0,83.0,87.5,87.0,67.6,7.8,88.8,28.1,84.0,44.8,11.4,71.3,100.0,45.19,17.24,98505,5.19
46,Puebla-Tlaxcala,3199530,1660200,1539330,141970,158768,309350,159344,165283,2183427,360009,436806,238097,97596,118887,67085,968820,1575166,671904,903262,34363,988985,1127381,771340,77822,2658382,259065,6611,265796,859166,285606,3191095,963036,1049064,161.11,40.99,227651,853745,832828,684841,491121,842370,847066,735566,604519,252334,804955,372519,777109,491886,179643,859413,374.18,2202283,815099,857917,4.131025641025641,1.051025641025641,9.594358974358974,51.9,48.1,4.4,5.0,9.7,5.0,5.2,68.2,11.3,13.7,7.4,97596,3.7,2.1,30.3,49.2,42.7,57.3,1.1,30.9,51.2,35.0,3.5,83.1,8.1,0.2,8.3,33.2,30.2,26.5,99.5,97.1,79.8,57.2,98.2,98.7,85.7,70.5,29.4,93.8,43.4,90.6,57.3,20.9,68.8,100.0,374.18,161.11,259065,40.99
47,Puerto Vallarta,479471,238990,240481,24513,25580,51123,24925,23523,325720,42157,202912,100703,44151,20702,7856,110592,263212,113710,149502,2860,131647,271669,51020,10052,358099,49899,938,69037,141781,48036,478101,157647,199925,6.75,2.13,48595,140759,139800,83652,22582,140510,140661,132588,106384,25995,127323,60877,134531,90121,38258,141841,20.16,346969,138017,141381,3.375,1.065,10.08,49.8,50.2,5.1,5.3,10.7,5.2,4.9,67.9,8.8,42.3,21.0,44151,4.3,1.6,23.1,54.9,43.2,56.8,0.6,27.5,78.3,14.7,2.9,74.7,10.4,0.2,14.4,33.9,33.0,34.4,99.6,98.9,59.2,16.0,99.4,99.5,93.8,75.2,18.4,90.1,43.1,95.2,63.7,27.1,72.4,100.0,20.16,6.75,49899,2.13
48,Querétaro,1594212,813213,780999,68215,76352,148782,74113,74214,1116435,160986,561597,286756,166200,60576,29297,429822,846426,368266,478160,16180,321356,867236,268825,81242,1325660,99122,3494,157583,463744,155556,1589407,494704,560417,17.77,4.65,110974,460644,455679,368188,95237,457173,457945,438674,374331,73217,439086,263323,436269,353149,163547,463946,49.9,1265682,432169,463148,3.554,0.93,9.98,51.0,49.0,4.3,4.8,9.3,4.6,4.7,70.0,10.1,35.2,18.0,166200,3.8,1.8,27.0,53.1,43.5,56.5,1.0,20.2,68.5,21.2,6.4,83.2,6.2,0.2,9.9,33.5,31.1,24.0,99.5,98.4,79.5,20.6,98.7,98.9,94.7,80.8,15.8,94.8,56.9,94.2,76.2,35.3,79.4,100.0,49.9,17.77,99122,4.65
49,Reynosa,837251,420769,416482,40160,44033,89547,44719,41224,568866,73008,252044,129449,33225,32381,12906,227167,425415,174577,250838,6909,177786,471296,118904,17751,512250,155490,895,164650,255108,79907,835073,245985,323522,6.65,1.97,84896,253453,252808,92304,12140,248530,249924,242396,203542,30536,237436,84952,237933,133008,40799,255155,19.25,655261,240791,254875,3.325,0.985,9.625,50.3,49.7,4.8,5.3,10.7,5.3,4.9,67.9,8.7,30.1,15.5,33225,3.9,1.5,27.1,50.8,41.0,59.0,0.8,21.2,71.9,18.1,2.7,61.2,18.6,0.1,19.7,31.3,29.5,33.3,99.4,99.2,36.2,4.8,97.5,98.1,95.1,79.9,12.0,93.2,33.3,93.4,52.2,16.0,78.3,100.0,19.25,6.65,155490,1.97
50,Rioverde,146049,75563,70486,7303,7601,15916,7918,7663,91829,21102,10574,5548,2685,8776,6887,44429,69511,27270,42241,709,29109,29176,75238,2787,128350,9135,96,8368,39939,12744,145621,42185,52745,7.34,1.99,12384,39258,37732,30391,5098,33836,37235,35923,32781,22741,36028,11102,34214,16518,4029,39956,17.270000000000003,116872,39485,39836,3.67,0.995,8.635000000000002,51.7,48.3,5.0,5.2,10.9,5.4,5.2,62.9,14.4,7.2,3.8,2685,6.0,4.7,30.4,47.6,39.2,60.8,0.5,19.9,25.0,64.4,2.4,87.9,6.3,0.1,5.7,31.9,29.0,31.1,98.5,94.7,76.3,12.8,84.9,93.5,90.2,82.3,57.1,90.4,27.9,85.9,41.5,10.1,80.0,100.0,17.270000000000003,7.34,9135,1.99
51,Saltillo,1031779,516310,515469,53433,60314,106681,50968,51030,692628,100207,164558,80673,37484,33497,10390,309112,487532,190818,296714,10461,170636,720273,36181,38539,814722,118498,833,93306,285607,79500,1028158,261911,326087,10.56,2.54,59392,284111,281915,249105,39812,281399,282360,276524,254702,21072,273982,134745,263757,187701,76656,285699,31.27,857293,275477,285475,3.52,0.8466666666666667,10.423333333333334,50.0,50.0,5.2,5.8,10.3,4.9,4.9,67.1,9.7,15.9,7.8,37484,3.2,1.0,30.0,47.3,39.1,60.9,1.0,16.5,84.0,4.2,4.5,79.0,11.5,0.1,9.0,27.8,25.5,20.8,99.5,98.8,87.3,13.9,98.6,98.9,96.9,89.2,7.4,96.0,47.2,92.4,65.8,26.9,83.1,100.0,31.27,10.56,118498,2.54
52,San Francisco del Rincón,214713,109397,105316,12296,12468,25009,11960,12097,139028,19887,18120,9307,2923,11331,7210,51699,111233,46191,65042,1084,50806,62173,91642,3194,196278,10270,117,7368,52076,16039,214270,62535,62617,8.26,2.28,13430,51701,51192,40963,7100,50754,50877,47350,44356,29610,49073,14864,45312,20391,5513,52098,15.919999999999998,163298,50726,51999,4.13,1.14,7.959999999999999,51.0,49.0,5.7,5.8,11.6,5.6,5.6,64.8,9.3,8.4,4.3,2923,5.3,3.4,24.1,51.8,41.5,58.5,0.5,23.7,38.1,56.1,2.0,91.4,4.8,0.1,3.4,30.8,29.2,25.8,99.4,98.4,78.8,13.7,97.6,97.8,91.1,85.3,56.9,94.4,28.6,87.1,39.2,10.6,76.1,100.0,15.919999999999998,8.26,10270,2.28
53,San Luis Potosí,1271366,655110,616256,53465,61993,121142,62028,64320,877589,141573,153999,79833,34804,50996,18688,362776,655582,288358,367224,12302,219589,766576,158531,53223,1096017,76510,1842,92828,357576,121388,1267156,399313,417565,11.36,2.86,70722,355752,351368,304687,248993,352838,353322,340780,307918,104181,343117,183990,330407,236114,105793,357777,29.59,1048808,332058,357278,3.786666666666666,0.9533333333333333,9.863333333333332,51.5,48.5,4.2,4.9,9.5,4.9,5.1,69.0,11.1,12.1,6.3,34804,4.0,1.5,28.5,51.6,44.0,56.0,1.0,17.3,73.1,15.1,5.1,86.2,6.0,0.1,7.3,33.9,31.5,19.8,99.6,98.3,85.3,69.7,98.8,98.9,95.4,86.2,29.2,96.0,51.5,92.5,66.1,29.6,82.5,100.1,29.59,11.36,76510,2.86
54,Tampico,773285,399974,373311,28473,34048,70674,36025,36281,528086,111011,177525,95939,27096,39891,11042,256986,369089,157581,211508,10356,157450,377892,114995,14046,570633,118787,530,80042,240386,80750,771503,236068,293294,9.62,2.53,77137,238472,237338,110753,9546,234606,235600,225879,198522,27031,225381,105758,225120,156952,62450,240442,32.97,612962,228634,239962,3.206666666666667,0.8433333333333334,10.99,51.7,48.3,3.7,4.4,9.1,4.7,4.7,68.3,14.4,23.0,12.4,27096,5.2,1.4,33.2,47.7,42.7,57.3,1.3,20.4,61.7,18.8,2.3,73.8,15.4,0.1,10.4,33.6,30.6,32.1,99.4,98.9,46.2,4.0,97.8,98.2,94.1,82.7,11.3,93.9,44.1,93.8,65.4,26.0,79.3,100.0,32.97,9.62,118787,2.53
55,Tapachula,353706,182096,171610,20233,19971,38338,18916,18676,227836,37919,16419,7983,5368,16426,17407,104275,162204,68212,93992,4012,150537,102284,60685,2545,167204,106993,407,75711,96211,33731,350322,115924,121813,3.64,1.19,38543,94335,87887,43964,21062,92803,93593,78994,52498,12170,83780,23536,83419,31777,8078,96307,9.33,199892,95731,95969,3.64,1.19,9.33,51.5,48.5,5.7,5.6,10.8,5.3,5.3,64.4,10.7,4.6,2.3,5368,4.6,4.9,29.5,45.9,42.1,57.9,1.1,42.6,51.2,30.4,1.3,47.3,30.2,0.1,21.4,35.1,33.1,40.2,98.3,91.6,45.8,21.9,96.7,97.5,82.3,54.7,12.7,87.3,24.5,86.9,33.1,8.4,56.5,100.1,9.33,3.64,106993,1.19
56,Tecomán,143931,72162,71769,6565,7500,16531,7823,7527,93664,17099,34810,17478,5981,9306,7704,37180,74637,29946,44691,934,23345,53458,60847,934,118314,13813,56,11496,41225,14087,143572,48465,51350,6.87,2.26,15819,40760,40490,22454,10095,40745,40814,36472,27028,13215,35912,9108,36207,14097,3138,41256,15.99,120371,40176,41101,3.435,1.13,7.995,50.1,49.9,4.6,5.2,11.5,5.4,5.2,65.1,11.9,24.2,12.1,5981,6.5,5.4,25.8,51.9,40.1,59.9,0.6,16.2,44.4,50.5,0.8,82.2,9.6,0.0,8.0,34.2,33.8,38.5,99.2,98.5,54.6,24.6,99.1,99.3,88.7,65.8,32.2,87.4,22.2,88.1,34.3,7.6,83.6,100.1,15.99,6.87,13813,2.26
57,Tehuacán,357621,188541,169080,17966,19398,38558,19823,20728,239727,33766,55173,30549,10959,17309,13527,91133,187134,86348,100786,2636,123980,110665,98078,3053,284109,43747,427,28745,92770,33660,356428,121544,113246,7.91,2.38,32101,91962,90037,65928,47205,88109,90978,74909,53100,29120,83108,31847,84070,46096,10700,92797,17.060000000000002,233375,89586,92615,3.955,1.19,8.530000000000001,52.7,47.3,5.0,5.4,10.8,5.5,5.8,67.0,9.4,15.4,8.5,10959,4.8,3.8,25.5,52.3,46.1,53.9,0.7,34.7,47.4,42.0,1.3,79.4,12.2,0.1,8.0,36.3,34.1,34.7,99.3,97.2,71.2,51.0,95.1,98.2,80.9,57.3,31.4,89.7,34.4,90.8,49.8,11.6,65.3,100.0,17.060000000000002,7.91,43747,2.38
58,Tehuantepec,179870,92930,86940,7779,9167,18285,9418,9324,118835,24247,17234,8686,4891,10574,10347,55210,86465,38682,47783,2253,43290,36220,61208,784,119017,34108,145,26305,52494,17326,179456,54014,67800,17.56,6.64,24695,51422,48078,37442,17009,50923,50744,44991,33764,8181,44126,14505,45058,22375,4285,52511,42.25,136374,52149,52326,3.512,1.3279999999999998,8.45,51.7,48.3,4.3,5.1,10.2,5.2,5.2,66.1,13.5,9.6,4.8,4891,5.9,5.8,30.7,48.1,44.7,55.3,1.3,24.1,26.6,44.9,0.6,66.2,19.0,0.1,14.6,33.0,30.1,47.2,98.3,91.9,71.6,32.5,97.3,97.0,86.0,64.5,15.6,84.3,27.7,86.1,42.8,8.2,75.8,100.0,42.25,17.56,34108,6.64
59,Tepic,491153,252339,238814,20941,24498,50060,25155,24905,329355,60171,70914,35560,15678,25418,8074,139063,250002,113476,136526,3600,105149,231035,67712,7102,409316,41110,923,38749,144850,51937,485902,160125,180342,6.79,1.71,35750,143715,143021,120579,70723,143002,143375,135630,112891,19847,136434,71653,134947,94242,38683,144964,21.99,385213,140607,144574,3.395,0.855,10.995,51.4,48.6,4.3,5.0,10.2,5.1,5.1,67.1,12.3,14.4,7.2,15678,5.2,1.6,28.3,50.9,45.4,54.6,0.7,21.4,60.0,17.6,1.8,83.3,8.4,0.2,7.9,35.9,33.0,24.7,99.4,98.9,83.4,48.9,98.9,99.2,93.8,78.1,13.7,94.4,49.6,93.3,65.2,26.8,78.4,100.1,21.99,6.79,41110,1.71
60,Teziutlán,138806,73225,65581,7019,7485,15688,7738,8130,91471,13840,12446,7216,3208,5388,5669,37077,70700,31688,39012,627,48062,39116,41808,1654,116917,10168,169,11458,36136,12806,138419,44091,43438,8.14,2.35,13519,35842,35616,25296,8502,34146,34831,25398,18931,1754,33552,10009,31701,11994,2963,36145,16.98,90707,35288,36066,4.07,1.175,8.49,52.8,47.2,5.1,5.4,11.3,5.6,5.9,65.9,10.0,9.0,5.2,3208,3.9,4.1,26.7,50.9,44.8,55.2,0.5,34.6,43.1,46.1,1.8,84.2,7.3,0.1,8.3,35.4,31.9,37.5,99.4,98.8,70.1,23.6,94.7,96.6,70.4,52.5,4.9,93.0,27.8,87.9,33.3,8.2,65.3,100.0,16.98,8.14,10168,2.35
61,Tianguistenco,183281,94446,88835,9577,10201,20302,10130,10292,121494,17561,13305,7317,2706,6663,3842,48370,93111,39350,53761,1347,62158,37294,68803,1060,161296,9415,202,12172,42779,12101,183254,47759,51189,25.78,6.54,13023,42482,41912,32140,9529,40866,41675,29503,26497,12770,39410,12508,35337,19083,4169,42788,58.72,120985,41680,42683,4.296666666666667,1.09,9.786666666666669,51.5,48.5,5.2,5.6,11.1,5.5,5.6,66.3,9.6,7.3,4.0,2706,3.6,2.1,26.4,50.8,42.3,57.7,0.7,33.9,30.8,56.9,0.9,88.0,5.1,0.1,6.6,28.3,26.1,30.5,99.5,98.2,75.3,22.3,95.7,97.6,69.1,62.1,29.9,92.3,29.3,82.8,44.7,9.8,66.0,100.0,58.72,25.78,9415,6.54
62,Tijuana,2157853,1067597,1090256,85991,100809,210171,107159,104862,1522246,195109,950489,477744,143132,80730,25011,567494,1156588,482868,673720,14761,536689,1171269,237171,79274,1336539,352159,3951,450634,645957,220033,2139730,711526,728205,9.92,2.76,189699,638909,631532,46063,50790,631826,634430,614586,526506,59956,605999,332561,609597,469164,224855,646322,29.55,1600432,583116,643576,3.306666666666666,0.92,9.85,49.5,50.5,4.0,4.7,9.7,5.0,4.9,70.5,9.0,44.0,22.1,143132,3.7,1.2,26.3,53.6,41.7,58.3,0.7,24.9,73.2,14.8,5.0,61.9,16.3,0.2,20.9,34.1,33.3,29.5,99.3,98.1,7.2,7.9,98.2,98.6,95.5,81.8,9.3,94.2,51.7,94.7,72.9,34.9,74.2,100.1,29.55,9.92,352159,2.76
63,Tlaxcala-Apizaco,570308,295693,274615,23408,26885,55495,28719,29523,372428,64333,94106,51592,19575,22791,8878,167134,269423,116621,152802,7035,145340,169149,168661,7950,458881,40502,871,49191,152525,49624,568700,166298,192172,73.73,18.12,38945,146745,146460,130362,41616,143958,145236,121609,93809,39496,137633,55601,131964,70910,17901,152573,197.6,404657,142070,152217,3.880526315789474,0.9536842105263158,10.4,51.8,48.2,4.1,4.7,9.7,5.0,5.2,65.3,11.3,16.5,9.0,19575,4.0,1.6,29.3,47.2,43.3,56.7,1.2,25.5,41.8,41.7,2.0,80.5,7.1,0.2,8.6,32.5,29.2,25.6,96.4,96.2,85.6,27.3,94.6,95.4,79.9,61.6,25.9,90.4,36.5,86.7,46.6,11.8,71.0,100.0,197.6,73.73,40502,18.12
64,Toluca,2353924,1209745,1144179,105941,118423,243171,126103,126046,1604696,236325,281479,151393,50524,81819,54883,718038,1136006,467407,668599,26339,801702,828394,411197,37503,2026661,156922,3695,161415,596909,169243,2346173,586753,727661,64.95,15.93,147472,593079,584031,452696,178436,575255,582198,475028,392728,181423,561514,244791,525067,315420,113336,597044,161.7,1544308,574252,596050,4.059375,0.995625,10.10625,51.4,48.6,4.5,5.0,10.3,5.4,5.4,68.2,10.0,12.0,6.4,50524,3.5,2.3,30.5,48.3,41.1,58.9,1.1,34.1,53.6,26.6,2.4,86.1,6.7,0.2,6.9,28.4,25.0,24.7,99.5,98.0,75.9,29.9,96.5,97.7,79.7,65.9,30.4,94.2,41.1,88.1,52.9,19.0,65.6,100.0,161.7,64.95,156922,15.93
65,Tula,256795,132102,124693,10737,12784,26448,13347,13441,174157,28728,70049,36784,23460,12318,5163,81183,121642,49855,71787,3369,74496,96969,56345,2646,208262,22097,673,25374,71749,21853,256088,70191,104620,18.52,4.72,17832,71144,70284,56999,16374,69836,70369,62396,49754,19054,66730,25097,63877,31978,9066,71769,48.7,182008,69811,71630,3.704,0.944,9.74,51.4,48.6,4.2,5.0,10.3,5.2,5.2,67.8,11.2,27.3,14.3,23460,4.8,2.0,31.6,47.4,41.0,59.0,1.3,29.0,53.3,31.0,1.5,81.1,8.6,0.3,9.9,30.5,27.4,24.9,99.3,98.1,79.6,22.9,97.5,98.2,87.1,69.5,26.6,93.2,35.0,89.2,44.6,12.7,70.9,100.0,48.7,18.52,22097,4.72
